"surveywave","state_id","school_id","treatment","n_school_wt","strata","fpc_school","class_srno","B01","B02","B03","B04","B05","B06","B07","B08","B09","D01","D02","D03","D04","D05","D06","D07","D08","D09"
2,1,128,1,1.01434421539307,161,0.333333343267441,5,1,,,,,,,,,1,,,,,,,,
2,1,128,1,1.01434421539307,161,0.333333343267441,6,1,,,,,,,,,1,,,,,,,,
2,1,129,1,1.01434421539307,161,0.333333343267441,1,2,,,,,,,,,1,,,,,,,,
2,1,129,1,1.01434421539307,161,0.333333343267441,2,2,,,,,,,,,2,,,,,,,,
2,1,129,1,1.01434421539307,161,0.333333343267441,3,2,,,,,,,,,2,,,,,,,,
2,1,129,1,1.01434421539307,161,0.333333343267441,4,2,,,,,,,,,1,,,,,,,,
2,1,129,1,1.01434421539307,161,0.333333343267441,5,1,,,,,,,,,2,,,,,,,,
2,1,129,1,1.01434421539307,161,0.333333343267441,6,2,,,,,,,,,2,,,,,,,,
2,1,135,0,0.929815590381622,160,0.363636374473572,1,2,,,,,,,,,2,,,,,,,,
2,1,135,0,0.929815590381622,160,0.363636374473572,2,2,,,,,,,,,2,,,,,,,,
2,1,135,0,0.929815590381622,160,0.363636374473572,3,1,,,,,,,,,4,,,,,,,,
2,1,135,0,0.929815590381622,160,0.363636374473572,4,2,,,,,,,,,4,,,,,,,,
2,1,135,0,0.929815590381622,160,0.363636374473572,5,2,,,,,,,,,2,,,,,,,,
2,1,135,0,0.929815590381622,160,0.363636374473572,6,2,,,,,,,,,1,,,,,,,,
2,1,136,0,0.929815590381622,160,0.363636374473572,1,2,,,,,,,,,1,,,,,,,,
2,1,136,0,0.929815590381622,160,0.363636374473572,2,2,,,,,,,,,1,,,,,,,,
2,1,136,0,0.929815590381622,160,0.363636374473572,3,2,,,,,,,,,1,,,,,,,,
2,1,136,0,0.929815590381622,160,0.363636374473572,4,5,,,,,,,,,5,,,,,,,,
2,1,136,0,0.929815590381622,160,0.363636374473572,5,2,,,,,,,,,1,,,,,,,,
2,1,136,0,0.929815590381622,160,0.363636374473572,6,2,,,,,,,,,2,,,,,,,,
2,1,142,0,0.929815590381622,160,0.363636374473572,1,4,,,,,,,,,2,,,,,,,,
2,1,142,0,0.929815590381622,160,0.363636374473572,2,4,,,,,,,,,2,,,,,,,,
2,1,142,0,0.929815590381622,160,0.363636374473572,3,4,,,,,,,,,2,,,,,,,,
2,1,142,0,0.929815590381622,160,0.363636374473572,4,4,,,,,,,,,2,,,,,,,,
2,1,142,0,0.929815590381622,160,0.363636374473572,5,4,,,,,,,,,2,,,,,,,,
2,1,142,0,0.929815590381622,160,0.363636374473572,6,4,,,,,,,,,2,,,,,,,,
2,1,143,0,0.929815590381622,160,0.363636374473572,1,1,,,,,,,,,1,,,,,,,,
