"surveywave","state_id","school_id","n_pup_id","pupil_id","treatment","n_panel_pup_wt","strata","fpc_school","fpc_pupil","n_panel_pup","outcome_pt","n_att_reason_pt","consent","able_to_hear","able_to_speak","Sex","Grade","Age","language","language_other","able_to_see","able_to_write","E1_EXAMPLE","E1A","E1B","E1C","E1D","E2_EXAMPLE","E2A","E2B","E2C","E2D","E13_START","E13A","E17_START","E17A","E17B","E17C","M15A","M16_START","M16A","M16B","M17_START","M17A","S7_START","S7A","S8A","S10_START","S10A","S10B","S10C","S10D","S17_a","S17_b","S17_c","S17_d","S17_e","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B11_other","B12","B13_a","B13_b","B13_c","B13_d","B13_e","B13_w","B13_y","B14A","B14B","B14C","B14D","B14E","B15","B16","B17","B18","B19","B20","B21A","B21B","B23","B24","B25","B26","B27A","B27B","B30","B31","B31A","B31B","n_E_raw_p","n_E_max_p","n_E_pc_p","n_M_raw_p","n_M_max_p","n_M_pc_p","n_S_raw_p","n_S_max_p","n_S_pc_p","n_E_wpm","n_E_dog","n_M_add_3_digit","n_M_add_3_digit_carry","n_M_three_quarters","n_M_multiply","n_S_magnet"
2,2,511,5117,7,1,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,511,5118,8,1,1.34670233726501,281,0.333333343267441,0.0824742268041237,1,1,,1,1,1,2,4,11,6,,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,,,,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,2,2,2,1,23,5,2,1,2,4,1,1,2,1,,1,1,2,1,1,1,2,2,1,,9,3,-8,6,1,1,,1,1,1,1,1,,1,1,1,1,,,,,6,49,12.2448978424072,5,29,17.2413787841797,23,50,46,0,0,0,0,0,0,0
2,2,516,5161,1,1,0.801774322986603,281,0.333333343267441,0.242424242424242,1,1,,1,1,1,1,3,12,6,,1,1,1,1,3,3,1,1,1,2,1,1,1,1,2,,,,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,1,2,2,9,3,2,1,2,4,1,1,2,1,,1,1,2,1,1,2,2,2,6,,5,3,,3,1,1,,1,1,1,1,1,,1,1,1,1,,,,,16.7999992370605,49,34.2857131958008,10,29,34.4827575683594,32,50,64,9,100,100,0,100,0,0
2,2,516,5162,2,1,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,516,5163,3,1,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,516,5164,4,1,0.801774322986603,281,0.333333343267441,0.242424242424242,1,1,,1,1,1,1,4,10,6,,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,,,,1,1,2,3,1,2,1,1,3,1,2,1,1,2,2,2,2,2,1,14,4,2,1,2,4,1,2,2,1,,2,1,2,1,1,2,2,2,6,,4,5,,5,1,1,,2,,2,2,1,,1,1,1,1,,,,,11.1999998092651,49,22.8571434020996,14,29,48.2758636474609,30,50,60,6,0,0,0,100,0,0
2,2,516,5165,5,1,0.801774322986603,281,0.333333343267441,0.242424242424242,1,1,,1,1,1,1,4,11,6,,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,,,,2,1,1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,2,2,13,8,2,1,2,4,1,1,2,1,,2,2,2,1,1,2,2,2,,,14,2,,6,1,1,,2,,1,1,1,,1,1,1,1,,,,,8.19999980926514,49,16.7346935272217,14,29,48.2758636474609,33,50,66,1,0,100,0,0,0,100
2,2,516,5166,6,1,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,516,5167,7,1,0.801774322986603,281,0.333333343267441,0.242424242424242,1,1,,1,1,1,2,4,9,6,,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,,,,1,1,3,3,1,3,1,2,3,1,2,2,1,1,2,2,2,2,1,14,5,2,2,,4,1,2,2,1,,2,1,2,1,1,2,2,2,4,,6,3,,5,1,1,,1,1,1,1,1,,1,1,1,1,,,,,11,49,22.4489803314209,6,29,20.6896553039551,29,50,58,0,0,0,0,100,0,0
2,2,516,5168,8,1,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,517,5171,1,0,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,517,5172,2,0,0.85522598028183,280,0.333333343267441,0.181818181818182,1,1,,1,1,1,1,3,9,6,,1,1,1,1,2,1,1,1,1,3,2,2,1,2,2,,,,2,1,2,2,1,3,1,3,2,1,2,1,1,3,2,2,1,2,2,21,6,2,1,1,4,1,1,2,1,,2,1,2,1,2,1,2,2,3,,4,,8,5,1,1,,2,,2,1,1,,2,,2,2,,,,,12,49,24.4897956848145,10,29,34.4827575683594,29,50,58,0,0,0,0,0,0,0
2,2,517,5173,3,0,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,517,5174,4,0,,,,,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
