surveywave,id_state,id_school,id_teacher,treatment,strata,weight_lo,fpc_school,a_3,b_3,c_3,d_3,a_6,b_6,c_6,d_6,a_9,b_9,c_9,d_9,a_12,b_12,c_12,d_12,a_15,b_15,c_15,d_15,a_18,b_18,c_18,d_18,a_21,b_21,c_21,d_21,a_24,b_24,c_24,d_24,a_27,b_27,c_27,d_27,a_30,b_30,c_30,d_30,a_33,b_33,c_33,d_33,a_36,b_36,c_36,d_36,c16,c17,c18,c19,c20,c21,c22,c23,c24,praise,reprimand,n_interval_time,n_ped_positive
Round 1 Baseline,Zamfara,734,3,Treatment,331,3,.3333333333333333,None of the above,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,chants,Hausa,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,moves around among students,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,43,A,ABC,,,b,3,No,1,1,18,13.88888835906982
Round 1 Baseline,Zamfara,737,1,Treatment,331,4,.3333333333333333,Explains,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,open question / response,Hausa,writes on / reads from blackboard,respond to open question,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,English,writes on / reads from blackboard,respond to closed question,open question / response,English,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,closed question / response,English,writes on / reads from blackboard,respond to closed question,open question / response,Hausa,writes on / reads from blackboard,respond to open question,Yes,14,,BC,,,f,4,No,,,36,30.55555534362793
Round 1 Baseline,Zamfara,737,2,Treatment,331,4,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,closed question / response,English,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,chants,English,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,open question / response,Hausa,writes on / reads from blackboard,respond to open question,open question / response,Hausa,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,open question / response,Hausa,writes on / reads from blackboard,respond to open question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Yes,12,,BCE,,,e,2,No,4,,36,27.77777671813965
Round 1 Baseline,Zamfara,737,3,Treatment,331,4,.3333333333333333,chants,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,writes on / reads from blackboard,None of the above,open question / response,Hausa,writes on / reads from blackboard,respond to open question,closed question / response,Hausa,uses textbook,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,open question / response,Hausa,writes on / reads from blackboard,respond to open question,chants,Hausa,writes on / reads from blackboard,None of the above,open question / response,Hausa,writes on / reads from blackboard,respond to open question,chants,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,open question / response,Hausa,writes on / reads from blackboard,respond to open question,Missing,,,,,,,,,2,,36,29.16666603088379
Round 1 Baseline,Zamfara,743,3,Treatment,331,4.5,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,None of the above,respond to closed question,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,None of the above,Teacher was silent,moves around among students,None of the above,None of the above,Hausa,moves around among students,None of the above,None of the above,Hausa,moves around among students,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,moves around among students,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Yes,36,,ABC,,,b,2,No,5,6,36,11.11111164093018
Round 1 Baseline,Zamfara,743,4,Treatment,331,4.5,.3333333333333333,Explains,English,None of the above,None of the above,Explains,English,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,open question / response,Hausa,None of the above,respond to open question,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,English,None of the above,None of the above,assists / group discussion,Hausa,moves around among students,individual work,,,,,,,,,,29,A,ABC,,,f,4,No,4,1,30,38.33333206176758
Round 1 Baseline,Zamfara,745,2,Treatment,341,2.75,.3636363636363637,closed question / response,English,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,respond to closed question,Explains,English,demonstrates / displays work,respond to closed question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,A,BC,,,c,1,No,9,1,15,33.33333206176758
Round 1 Baseline,Zamfara,745,3,Treatment,341,2.75,.3636363636363637,Explains,English,writes on / reads from blackboard,None of the above,chants,Hausa,uses textbook,respond to closed question,chants,English,uses textbook,None of the above,None of the above,Teacher was silent,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,A,ABC,,,c,4,No,2,,12,16.66666793823242
Round 1 Baseline,Zamfara,745,4,Treatment,341,2.75,.3636363636363637,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,demonstrates / displays work,respond to closed question,instructs / presents / dictates,Hausa,uses textbook,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,A,ABCF,,,c,2,No,6,,12,37.5
Round 1 Baseline,Zamfara,750,2,Treatment,341,4.125,.3636363636363637,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,moves around among students,None of the above,None of the above,Teacher was silent,moves around among students,None of the above,chants,English,moves around among students,None of the above,chants,English,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,moves around among students,individual work,Explains,Hausa,writes on / reads from blackboard,None of the above,open question / response,English,moves around among students,respond to open question,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,Yes,7,,ABC,,,c,4,No,9,,36,20.83333396911621
Round 1 Baseline,Zamfara,750,3,Treatment,341,4.125,.3636363636363637,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,moves around among students,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,moves around among students,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,moves around among students,None of the above,closed question / response,Hausa,moves around among students,respond to closed question,Explains,Hausa,moves around among students,None of the above,Explains,Hausa,moves around among students,None of the above,Explains,Hausa,None of the above,None of the above,,,,,,38,D,BC,,,b,4,No,10,3,33,30.30303001403809
Round 1 Baseline,Zamfara,752,1,Treatment,341,5.5,.3636363636363637,open question / response,Hausa,None of the above,None of the above,open question / response,Hausa,None of the above,respond to open question,Explains,Hausa,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,None of the above,respond to open question,open question / response,Hausa,None of the above,respond to open question,instructs / presents / dictates,Teacher was silent,None of the above,None of the above,assists / group discussion,Teacher was silent,None of the above,group or pair work,open question / response,Hausa,None of the above,respond to open question,open question / response,Hausa,None of the above,respond to open question,None of the above,Hausa,None of the above,None of the above,None of the above,Hausa,None of the above,None of the above,Yes,18,,ABC,,,c,2,No,6,,36,37.5
Round 1 Baseline,Zamfara,752,3,Treatment,341,5.5,.3636363636363637,open question / response,English,moves around among students,respond to open question,Explains,Hausa,moves around among students,None of the above,None of the above,Teacher was silent,moves around among students,None of the above,Explains,Hausa,moves around among students,None of the above,closed question / response,Hausa,uses textbook,None of the above,Explains,English,uses textbook,respond to open question,None of the above,Teacher was silent,None of the above,None of the above,Explains,Hausa,uses textbook,None of the above,open question / response,Hausa,moves around among students,respond to open question,open question / response,Hausa,moves around among students,respond to open question,None of the above,Teacher was silent,moves around among students,None of the above,None of the above,Teacher was silent,None of the above,None of the above,No,24,AB,ABC,,,bcd,1,No,5,14,36,44.4444465637207
Round 1 Baseline,Zamfara,756,1,Treatment,341,11,.3636363636363637,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,respond to closed question,chants,Hausa,writes on / reads from blackboard,respond to closed question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,A,BC,,,c,4,No,7,1,12,25
Round 1 Baseline,Zamfara,758,4,Control,340,11,.3636363636363637,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,Hausa,None of the above,None of the above,chants,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,demonstrates / displays work,None of the above,instructs / presents / dictates,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Yes,37,,BC,,,c,1,No,16,3,36,8.333333015441895
Round 1 Baseline,Zamfara,759,1,Control,340,2.75,.3636363636363637,closed question / response,English,None of the above,respond to closed question,Explains,English,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,open question / response,Hausa,None of the above,respond to open question,closed question / response,English,None of the above,respond to closed question,closed question / response,English,writes on / reads from blackboard,respond to closed question,closed question / response,English,writes on / reads from blackboard,respond to closed question,open question / response,Hausa,None of the above,respond to open question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Yes,18,,BC,,,f,3,No,4,,36,25
Round 1 Baseline,Zamfara,759,2,Control,340,2.75,.3636363636363637,closed question / response,English,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,None of the above,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,None of the above,None of the above,chants,Hausa,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,None of the above,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,closed question / response,Hausa,None of the above,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Yes,39,,BCJ,,,b,4,No,5,1,36,19.44444465637207
Round 1 Baseline,Zamfara,759,3,Control,340,2.75,.3636363636363637,closed question / response,English,None of the above,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,English,None of the above,respond to closed question,closed question / response,English,None of the above,None of the above,closed question / response,English,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,None of the above,respond to closed question,chants,English,writes on / reads from blackboard,None of the above,closed question / response,English,None of the above,respond to closed question,closed question / response,English,None of the above,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Yes,16,,BC,,,e,2,No,,,36,11.11111164093018
Round 1 Baseline,Zamfara,759,4,Control,340,2.75,.3636363636363637,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,chants,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,None of the above,None of the above,chants,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,closed question / response,Hausa,None of the above,respond to closed question,closed question / response,Hausa,None of the above,respond to closed question,open question / response,Hausa,writes on / reads from blackboard,respond to open question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Yes,36,,BC,,,b,4,No,,,36,5.555555820465088
Round 1 Baseline,Zamfara,766,2,Control,340,3.666666666666667,.3636363636363637,chants,Hausa,demonstrates / displays work,group discussion / presentation,Explains,Hausa,demonstrates / displays work,respond to closed question,Explains,Hausa,demonstrates / displays work,group discussion / presentation,Explains,Hausa,demonstrates / displays work,respond to open question,chants,Hausa,demonstrates / displays work,individual work,chants,English,demonstrates / displays work,respond to closed question,,,,,,,,,,,,,,,,,,,,,,,,,,52,C,AC,,,f,1,No,5,,18,61.11111068725586
Round 1 Baseline,Zamfara,766,3,Control,340,3.666666666666667,.3636363636363637,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,chants,Hausa,writes on / reads from blackboard,group discussion / presentation,chants,English,uses textbook,group or pair work,chants,Hausa,demonstrates / displays work,individual work,chants,Hausa,writes on / reads from blackboard,individual work,chants,Hausa,uses textbook,individual work,chants,English,moves around among students,individual work,chants,English,moves around among students,individual work,chants,English,uses textbook,individual work,instructs / presents / dictates,Hausa,demonstrates / displays work,individual work,,,,,,,,,,54,A,AC,,,b,2,No,7,1,30,18.33333396911621
Round 1 Baseline,Zamfara,766,4,Control,340,3.666666666666667,.3636363636363637,instructs / presents / dictates,Hausa,demonstrates / displays work,respond to closed question,Explains,English,demonstrates / displays work,individual work,Explains,Hausa,writes on / reads from blackboard,group or pair work,closed question / response,English,demonstrates / displays work,group or pair work,chants,English,moves around among students,group or pair work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,B,AC,,,f,2,Yes,6,1,15,46.66666412353516
Round 1 Baseline,Zamfara,768,2,Control,340,4.125,.3636363636363637,open question / response,Hausa,moves around among students,respond to open question,None of the above,Teacher was silent,moves around among students,None of the above,open question / response,Hausa,writes on / reads from blackboard,respond to open question,open question / response,Teacher was silent,moves around among students,respond to open question,Explains,Teacher was silent,moves around among students,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Yes,7,,BC,,,c,2,No,17,1,36,25
Round 1 Baseline,Zamfara,768,3,Control,340,4.125,.3636363636363637,None of the above,English,None of the above,None of the above,closed question / response,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,No,7,D,BC,,,c,1,No,10,1,36,0
Round 1 Baseline,Zamfara,773,1,Treatment,351,2.75,.3636363636363637,instructs / presents / dictates,English,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to open question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,individual work,None of the above,Hausa,writes on / reads from blackboard,individual work,closed question / response,Hausa,uses textbook,individual work,None of the above,Hausa,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,,,,,,,,,,,,,,21,C,ABC,,,f,1,No,11,3,27,12.96296215057373
Round 1 Baseline,Zamfara,773,2,Treatment,351,2.75,.3636363636363637,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to open question,Explains,English,uses textbook,respond to closed question,chants,Hausa,writes on / reads from blackboard,respond to closed question,chants,English,writes on / reads from blackboard,respond to closed question,chants,Hausa,writes on / reads from blackboard,None of the above,None of the above,Hausa,uses textbook,individual work,chants,English,writes on / reads from blackboard,individual work,chants,English,writes on / reads from blackboard,respond to closed question,chants,Hausa,writes on / reads from blackboard,None of the above,open question / response,Hausa,uses textbook,individual work,,,,,,,,,,18,AC,ABCD,,,c,2,No,13,4,30,15
Round 1 Baseline,Zamfara,773,3,Treatment,351,2.75,.3636363636363637,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,uses textbook,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,uses textbook,individual work,closed question / response,Hausa,uses textbook,individual work,open question / response,Hausa,uses textbook,individual work,open question / response,Hausa,writes on / reads from blackboard,individual work,chants,Hausa,writes on / reads from blackboard,respond to closed question,open question / response,Hausa,writes on / reads from blackboard,individual work,,,,,,,,,,20,AC,ABC,,,f,3,No,15,3,30,30
Round 1 Baseline,Zamfara,773,4,Treatment,351,2.75,.3636363636363637,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to open question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,chants,Hausa,writes on / reads from blackboard,respond to closed question,chants,Hausa,uses textbook,individual work,closed question / response,Hausa,writes on / reads from blackboard,individual work,closed question / response,Hausa,writes on / reads from blackboard,individual work,closed question / response,Hausa,uses textbook,individual work,open question / response,Hausa,writes on / reads from blackboard,individual work,closed question / response,Hausa,moves around among students,individual work,,,,,,,,,,23,AC,ABCD,,,f,4,No,15,4,30,15
Round 1 Baseline,Zamfara,775,3,Treatment,351,4.125,.3636363636363637,instructs / presents / dictates,English,None of the above,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,individual work,Explains,English,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,individual work,Explains,English,None of the above,individual work,Yes,23,,BCE,,,f,3,No,4,2,36,19.44444465637207
Round 1 Baseline,Zamfara,775,4,Treatment,351,4.125,.3636363636363637,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Teacher was silent,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,moves around among students,respond to closed question,Explains,English,writes on / reads from blackboard,None of the above,open question / response,English,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,None of the above,Yes,23,,ABC,,,f,2,No,10,,36,18.05555534362793
Round 1 Baseline,Zamfara,778,1,Treatment,351,3.666666666666667,.3636363636363637,Explains,Hausa,None of the above,None of the above,Explains,Hausa,None of the above,None of the above,closed question / response,Hausa,None of the above,respond to closed question,Explains,Hausa,None of the above,None of the above,closed question / response,English,None of the above,None of the above,closed question / response,Hausa,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,None of the above,None of the above,,,,,,,,,,,,,,,,,,19,A,ABC,,,a,1,No,4,,24,16.66666793823242
Round 1 Baseline,Zamfara,778,2,Treatment,351,3.666666666666667,.3636363636363637,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,closed question / response,Hausa,None of the above,None of the above,Explains,Hausa,None of the above,None of the above,open question / response,English,moves around among students,respond to open question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,,,,,,,,,,,,,,12,A,ABC,,,b,4,No,4,,27,38.88888931274414
Round 1 Baseline,Zamfara,778,4,Treatment,351,3.666666666666667,.3636363636363637,Explains,Other,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,chants,Other,writes on / reads from blackboard,None of the above,chants,Other,writes on / reads from blackboard,None of the above,chants,Other,writes on / reads from blackboard,None of the above,chants,Other,writes on / reads from blackboard,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,19,A,BC,,,a,4,No,3,,18,11.11111164093018
Round 1 Baseline,Zamfara,779,1,Treatment,351,3.666666666666667,.3636363636363637,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,None of the above,None of the above,chants,Hausa,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,None of the above,None of the above,None of the above,Hausa,None of the above,None of the above,closed question / response,Hausa,None of the above,respond to closed question,closed question / response,Hausa,None of the above,respond to closed question,,,,,,,,,,22,AB,ABC,,,c,2,No,9,1,30,13.33333396911621
Round 1 Baseline,Zamfara,779,2,Treatment,351,3.666666666666667,.3636363636363637,instructs / presents / dictates,Hausa,None of the above,None of the above,chants,Hausa,writes on / reads from blackboard,None of the above,chants,English,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,None of the above,None of the above,chants,English,None of the above,None of the above,closed question / response,English,None of the above,respond to closed question,instructs / presents / dictates,Hausa,moves around among students,None of the above,assists / group discussion,Hausa,moves around among students,group or pair work,,,,,,,,,,,,,,,,,,22,ABC,BC,,,c,3,No,10,,24,14.5833330154419
Round 1 Baseline,Zamfara,779,3,Treatment,351,3.666666666666667,.3636363636363637,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Teacher was silent,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,moves around among students,None of the above,Explains,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,None of the above,respond to closed question,closed question / response,English,None of the above,respond to closed question,closed question / response,English,None of the above,respond to closed question,closed question / response,Hausa,None of the above,respond to closed question,closed question / response,English,None of the above,respond to closed question,Explains,English,writes on / reads from blackboard,,No,21,AB,ABC,,,c,1,No,25,1,36,12.5
Round 1 Baseline,Zamfara,784,1,Control,350,2.75,.3636363636363637,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,uses textbook,None of the above,open question / response,Hausa,writes on / reads from blackboard,respond to open question,Explains,Hausa,uses textbook,None of the above,closed question / response,Hausa,uses textbook,respond to closed question,Explains,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,uses textbook,respond to closed question,open question / response,Teacher was silent,uses textbook,respond to open question,closed question / response,English,uses textbook,respond to closed question,Explains,English,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Yes,58,,ABC,,,c,4,No,2,,36,33.33333206176758
Round 1 Baseline,Zamfara,784,2,Control,350,2.75,.3636363636363637,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,uses textbook,None of the above,closed question / response,Hausa,uses textbook,respond to closed question,closed question / response,Hausa,uses textbook,respond to closed question,closed question / response,Hausa,uses textbook,None of the above,open question / response,Hausa,writes on / reads from blackboard,respond to open question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,open question / response,Hausa,uses textbook,respond to open question,open question / response,Hausa,uses textbook,respond to open question,chants,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,uses textbook,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,Yes,48,,ABC,,,b,4,No,2,,36,34.72222137451172
Round 1 Baseline,Zamfara,784,3,Control,350,2.75,.3636363636363637,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,open question / response,Hausa,writes on / reads from blackboard,respond to open question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Teacher was silent,None of the above,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,Yes,58,,BC,,,c,4,No,10,3,36,16.66666603088379
Round 1 Baseline,Zamfara,784,4,Control,350,2.75,.3636363636363637,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,instructs / presents / dictates,Hausa,uses textbook,None of the above,instructs / presents / dictates,Hausa,uses textbook,None of the above,open question / response,Hausa,writes on / reads from blackboard,respond to open question,Explains,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,open question / response,Hausa,writes on / reads from blackboard,respond to open question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,open question / response,Hausa,writes on / reads from blackboard,respond to open question,Yes,62,,ABC,,,c,2,No,8,1,36,25
Round 1 Baseline,Zamfara,786,1,Control,350,2.75,.3636363636363637,instructs / presents / dictates,English,writes on / reads from blackboard,respond to closed question,Explains,English,writes on / reads from blackboard,respond to open question,closed question / response,Hausa,writes on / reads from blackboard,respond to open question,closed question / response,Hausa,writes on / reads from blackboard,individual work,open question / response,Hausa,uses textbook,individual work,open question / response,English,uses textbook,respond to closed question,chants,Hausa,writes on / reads from blackboard,individual work,open question / response,English,uses textbook,individual work,closed question / response,English,uses textbook,,,,,,,,,,,,,,,31,AC,ABC,,,f,1,No,15,5,27,29.62963104248047
Round 1 Baseline,Zamfara,786,2,Control,350,2.75,.3636363636363637,instructs / presents / dictates,Hausa,writes on / reads from blackboard,respond to closed question,chants,Hausa,uses textbook,individual work,chants,Hausa,writes on / reads from blackboard,individual work,closed question / response,Hausa,writes on / reads from blackboard,respond to open question,chants,Hausa,writes on / reads from blackboard,respond to closed question,chants,Hausa,writes on / reads from blackboard,None of the above,chants,Hausa,writes on / reads from blackboard,respond to open question,chants,Hausa,writes on / reads from blackboard,individual work,chants,Hausa,writes on / reads from blackboard,,,,,,,,,,,,,,,30,AC,ABCDE,,,a,4,No,15,4,27,9.259259223937988
Round 1 Baseline,Zamfara,786,3,Control,350,2.75,.3636363636363637,instructs / presents / dictates,English,writes on / reads from blackboard,respond to closed question,Explains,English,writes on / reads from blackboard,respond to open question,open question / response,Hausa,uses textbook,respond to open question,chants,Hausa,writes on / reads from blackboard,individual work,closed question / response,English,uses textbook,individual work,chants,Hausa,uses textbook,individual work,chants,Hausa,writes on / reads from blackboard,individual work,chants,English,writes on / reads from blackboard,individual work,closed question / response,English,writes on / reads from blackboard,respond to closed question,open question / response,Hausa,uses textbook,individual work,,,,,,,,,,32,BC,ABCDE,,,f,4,No,15,4,30,23.33333206176758
