surveywave,id_state,id_school,id_teacher,treatment,strata,weight_lo,fpc_school,a_3,b_3,c_3,d_3,a_6,b_6,c_6,d_6,a_9,b_9,c_9,d_9,a_12,b_12,c_12,d_12,a_15,b_15,c_15,d_15,a_18,b_18,c_18,d_18,a_21,b_21,c_21,d_21,a_24,b_24,c_24,d_24,a_27,b_27,c_27,d_27,a_30,b_30,c_30,d_30,a_33,b_33,c_33,d_33,a_36,b_36,c_36,d_36,c16,c17,c18,c19,c20,c21,c22,c23,c24,praise,reprimand,n_interval_time,n_ped_positive
Round 1 Baseline,Katsina,379,2,Treatment,221,3,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,None of the above,Hausa,writes on / reads from blackboard,None of the above,Explains,English,None of the above,None of the above,chants,English,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,respond to closed question,None of the above,Teacher was silent,moves around among students,respond to open question,Explains,Hausa,moves around among students,respond to closed question,,,,,,,,,,,,,,,,,,,,,,38,A,ABC,,,e,1,No,4,1,21,23.80952262878418
Round 1 Baseline,Katsina,379,3,Treatment,221,3,.3333333333333333,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,None of the above,English,moves around among students,None of the above,None of the above,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,None of the above,Teacher was silent,None of the above,individual work,None of the above,Teacher was silent,None of the above,individual work,Explains,Hausa,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,,,,,,24,BC,ABCE,,,f,1,No,,,33,19.69696998596191
Round 1 Baseline,Katsina,379,4,Treatment,221,3,.3333333333333333,instructs / presents / dictates,Hausa,writes on / reads from blackboard,None of the above,None of the above,Hausa,demonstrates / displays work,None of the above,chants,Hausa,writes on / reads from blackboard,respond to closed question,chants,English,writes on / reads from blackboard,respond to closed question,chants,English,moves around among students,respond to closed question,chants,English,moves around among students,respond to closed question,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,closed question / response,English,None of the above,respond to closed question,chants,Hausa,moves around among students,respond to closed question,None of the above,Teacher was silent,None of the above,respond to closed question,chants,English,moves around among students,respond to closed question,chants,Hausa,moves around among students,respond to closed question,Yes,20,,ABC,,,c,2,No,2,,36,9.722222328186035
Round 1 Baseline,Katsina,388,1,Control,230,2.25,.3333333333333333,Explains,English,demonstrates / displays work,None of the above,instructs / presents / dictates,English,demonstrates / displays work,None of the above,None of the above,Teacher was silent,moves around among students,None of the above,Explains,English,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,None of the above,Explains,Hausa,moves around among students,None of the above,None of the above,Teacher was silent,None of the above,None of the above,chants,English,writes on / reads from blackboard,,,,,,,,,,,,,,,,,,,43,C,ABC,,,d,2,No,4,,24,25
Round 1 Baseline,Katsina,388,2,Control,230,2.25,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,closed question / response,Hausa,None of the above,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,instructs / presents / dictates,English,writes on / reads from blackboard,None of the above,Explains,English,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,None of the above,individual work,,,,,,,,,,,,,,,,,,,,,,35,D,BC,,,c,1,No,,,21,14.2857141494751
Round 1 Baseline,Katsina,388,3,Control,230,2.25,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,None of the above,Teacher was silent,moves around among students,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,closed question / response,Hausa,moves around among students,None of the above,assists / group discussion,English,moves around among students,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,51,C,BCE,,,c,2,No,1,3,18,36.11111068725586
Round 1 Baseline,Katsina,388,4,Control,230,2.25,.3333333333333333,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Explains,English,demonstrates / displays work,None of the above,None of the above,Teacher was silent,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,chants,English,writes on / reads from blackboard,None of the above,Explains,English,moves around among students,None of the above,chants,English,writes on / reads from blackboard,None of the above,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Hausa,moves around among students,individual work,assists / group discussion,Teacher was silent,moves around among students,individual work,Yes,41,,BCE,,,c,1,No,12,,36,38.88888931274414
Round 1 Baseline,Katsina,389,2,Control,230,3,.3333333333333333,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,English,writes on / reads from blackboard,None of the above,Explains,Hausa,uses textbook,None of the above,Explains,English,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,closed question / response,Hausa,None of the above,respond to closed question,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,Explains,Hausa,uses textbook,None of the above,Explains,Hausa,uses textbook,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,Yes,78,,ABC,,,c,4,No,,,36,31.94444465637207
Round 1 Baseline,Katsina,389,3,Control,230,3,.3333333333333333,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,instructs / presents / dictates,Hausa,None of the above,individual work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,D,BC,,,d,2,No,2,,12,50
Round 1 Baseline,Katsina,389,4,Control,230,3,.3333333333333333,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,Explains,Hausa,writes on / reads from blackboard,None of the above,closed question / response,Hausa,writes on / reads from blackboard,respond to closed question,Explains,Hausa,writes on / reads from blackboard,None of the above,Explains,Hausa,demonstrates / displays work,None of the above,Explains,Hausa,writes on / reads from blackboard,None of the above,instructs / presents / dictates,Hausa,writes on / reads from blackboard,individual work,closed question / response,Hausa,writes on / reads from blackboard,individual work,Yes,55,,ABC,,,f,2,No,8,2,36,33.33333206176758
