"surveywave","state_id","school_id","n_teacher_id","teacher_srno","treatment","n_school_wt","strata","fpc_school","A05","A07","A09","A10","n_eligible_teacher","B01","B02","B03","B04","B06","B08","B10","B12","B14","B16"
2,1,26,2621,21,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,-8,2,1,2016,2,2,2,2,2,2
2,1,26,2622,22,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,-8,2,2,2017,2,2,2,2,2,2
2,1,33,3301,1,1,1.01434421539307,121,0.333333343267441,2,2,1,,2,,,,,,,,,,
2,1,33,3302,2,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1987,1,1,2013,1,1,1,2,1,2
2,1,33,3303,3,1,1.01434421539307,121,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,33,3304,4,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1981,1,2,-8,1,1,1,2,1,2
2,1,33,3305,5,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1978,1,1,2006,1,1,1,2,1,2
2,1,33,3306,6,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,-8,1,1,2016,2,2,2,2,2,2
2,1,33,3307,7,1,1.01434421539307,121,0.333333343267441,2,2,1,,2,,,,,,,,,,
2,1,36,3601,1,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1984,1,1,2013,1,1,1,2,1,1
2,1,36,3602,2,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1981,2,1,2010,1,1,1,2,2,1
2,1,36,3603,3,1,1.01434421539307,121,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,36,3604,4,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1984,1,1,2015,2,1,2,2,2,2
2,1,36,3605,5,1,1.01434421539307,121,0.333333343267441,2,2,2,1,2,,,,,,,,,,
2,1,36,3606,6,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1984,1,1,2006,1,1,2,2,2,1
2,1,36,3607,7,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1980,2,1,2016,2,1,2,2,2,2
2,1,36,3608,8,1,1.01434421539307,121,0.333333343267441,2,2,2,2,1,1981,2,2,2017,2,1,1,2,2,1
2,1,36,3609,9,1,1.01434421539307,121,0.333333343267441,1,,,,2,,,,,,,,,,
2,1,39,3901,1,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1966,1,1,2003,2,2,1,2,2,2
2,1,39,3902,2,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1993,1,1,2013,2,2,2,2,2,2
2,1,40,4001,1,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1984,1,1,2013,2,2,1,2,1,2
2,1,40,4002,2,0,1.01434421539307,120,0.333333343267441,2,1,,,2,,,,,,,,,,
2,1,40,4003,3,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1987,1,2,2012,2,2,2,2,2,2
2,1,40,4004,4,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1985,2,2,2006,2,2,2,2,2,2
2,1,40,4005,5,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1984,2,2,2006,2,2,2,2,2,2
2,1,40,4006,6,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1987,1,1,2017,2,2,2,2,2,2
2,1,40,4007,7,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1985,1,1,2017,2,2,2,2,2,2
2,1,42,4201,1,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1976,2,1,2016,2,2,2,2,2,2
2,1,42,4202,2,0,1.01434421539307,120,0.333333343267441,2,2,1,,2,,,,,,,,,,
2,1,43,4301,1,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1970,1,1,2004,2,2,2,2,2,2
2,1,43,4302,2,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1972,1,1,2008,2,2,2,2,2,2
2,1,43,4303,3,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1972,1,1,2006,2,2,2,2,2,2
2,1,43,4304,4,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1980,2,1,2006,2,2,2,2,2,2
2,1,43,4305,5,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1975,2,1,2006,2,2,2,2,2,2
2,1,43,4306,6,0,1.01434421539307,120,0.333333343267441,2,2,2,2,1,1985,2,1,2016,2,2,2,2,2,2
2,1,52,5201,1,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1975,1,1,2003,1,2,1,2,2,2
2,1,52,5202,2,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1981,1,1,2009,2,2,2,2,2,2
2,1,52,5203,3,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1980,1,1,2012,1,2,1,2,2,2
2,1,52,5204,4,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1977,1,1,2015,1,2,2,2,2,2
2,1,52,5205,5,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1978,2,1,2013,2,2,2,2,2,2
2,1,52,5206,6,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1987,1,1,2016,2,2,2,2,2,2
2,1,52,5207,7,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1982,2,1,2015,2,2,2,2,2,2
2,1,52,5208,8,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,-8,2,1,2016,2,2,2,2,2,2
2,1,52,5209,9,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1976,1,2,2013,2,2,2,2,2,2
2,1,52,5210,10,1,1.01434421539307,131,0.333333343267441,2,2,1,,2,,,,,,,,,,
2,1,52,5211,11,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1992,2,1,2016,2,2,2,2,2,2
2,1,52,5212,12,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1966,2,1,2003,2,2,2,2,2,2
2,1,52,5213,13,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1995,2,2,2017,2,2,2,2,2,2
2,1,53,5301,1,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1963,1,1,2005,1,1,1,2,1,1
2,1,53,5302,2,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1973,1,1,2008,1,1,1,2,2,2
2,1,53,5303,3,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1982,1,1,2012,1,1,1,2,2,2
2,1,53,5304,4,1,1.01434421539307,131,0.333333343267441,2,2,2,2,1,1981,2,1,2002,1,1,1,2,2,1
